pktlen_0,pktlen_1,pktlen_2,pktlen_3,pktlen_4,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1464,1462,66,1368,66,514,66,146,2
583,66,1464,1464,1462,193,78,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1464,1462,193,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,704,356,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,66,1462,195,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,66,2
709,66,326,66,146,1434,117,66,369,1462,2
614,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,70,1366,66,514,66,66,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,809,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1462,72,191,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1464,191,66,66,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
614,66,222,66,117,704,66,602,805,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,222,66,117,66,1434,732,226,66,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,66,146,2
583,66,1462,1462,1462,197,66,159,706,356,2
615,66,222,66,117,706,66,602,807,1434,2
614,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1462,197,66,159,707,356,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
615,66,222,66,117,706,66,602,808,1434,2
615,66,222,66,117,708,66,602,809,1434,2
583,66,1462,1462,1370,289,66,66,159,705,2
583,66,1462,1462,1462,197,66,159,703,356,2
583,66,1464,1464,1462,193,66,66,159,704,2
615,66,222,66,117,708,66,602,810,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1462,197,66,159,705,356,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,514,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1462,1462,70,1366,66,514,66,66,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1462,1462,1370,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,70,1366,514,66,66,66,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1462,1462,195,66,66,159,706,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,70,1464,191,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,704,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,70,1366,66,514,66,66,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
614,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
614,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1366,289,66,66,159,707,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1464,1464,1366,289,66,66,159,706,2
583,66,1462,1462,70,1366,66,514,66,66,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1462,193,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,809,1434,2
709,66,326,66,146,1434,118,369,66,1462,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1462,193,66,66,159,706,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,70,1366,514,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1464,1462,193,66,66,159,708,2
709,66,326,66,146,1434,117,369,66,1462,2
583,66,1462,1462,1462,197,66,159,705,356,2
583,66,1464,66,1462,1462,195,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
614,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
709,66,326,66,146,1434,118,369,66,1462,2
583,66,1464,1464,1462,193,66,66,159,705,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1462,197,66,159,708,356,2
615,66,222,66,117,708,66,602,809,1434,2
615,66,222,66,117,706,66,602,808,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1462,193,66,66,159,2
615,66,222,66,117,708,66,602,809,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1462,197,66,159,708,356,2
614,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,705,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,704,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,72,191,66,66,159,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,707,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,70,191,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1464,191,66,66,159,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,70,1464,191,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1462,193,66,66,159,706,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1462,197,66,159,705,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1464,1464,1462,193,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
709,66,326,66,146,1434,117,369,66,1462,2
615,66,222,66,117,708,66,602,809,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
614,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1462,1462,70,1366,514,66,66,66,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,704,356,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1464,1462,1368,66,66,514,66,146,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
709,66,326,66,146,1434,118,369,66,66,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1464,66,1462,1368,66,514,66,146,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1464,1464,1366,66,514,66,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,809,1434,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1464,1464,1366,289,66,66,159,706,2
709,66,326,66,146,1434,118,369,66,66,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,708,2
583,66,1462,1462,1370,514,66,66,146,1434,2
614,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1462,1462,195,66,66,159,704,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
614,66,222,66,117,705,66,602,807,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,222,66,117,1434,739,226,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
615,66,222,66,117,706,66,602,807,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,289,66,66,159,708,2
615,66,222,66,117,708,66,602,810,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1464,1462,1368,289,66,66,66,159,2
583,66,1462,1462,1462,197,66,159,706,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1462,197,66,159,708,356,2
614,66,222,66,117,706,66,602,807,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1462,197,66,159,708,66,2
614,66,222,66,117,704,66,602,806,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,707,2
583,66,1462,1462,70,1366,514,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,191,1464,66,78,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1464,1464,1462,193,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,706,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,70,1366,289,66,66,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1462,1462,195,66,66,159,708,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,70,1464,191,66,66,159,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,66,514,66,146,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1464,1464,1462,193,66,66,159,706,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,707,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1464,1464,1366,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,70,1366,289,66,66,66,2
614,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,707,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,66,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,708,356,2
583,66,1464,1462,1368,66,66,514,66,146,2
583,66,1462,1462,70,1462,193,66,66,159,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1464,1464,1462,193,66,66,159,708,2
583,66,1462,1462,1370,66,514,66,146,1434,2
583,66,1462,1462,1370,289,66,66,159,705,2
583,66,1462,1462,70,1366,66,66,514,66,2
583,66,1462,1462,1462,197,66,159,707,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,706,66,602,808,1434,2
583,66,1462,1462,1370,514,66,66,146,1434,2
583,66,1462,1462,1462,197,66,159,706,356,2
583,66,1462,1462,1370,66,514,66,146,1434,2
615,66,222,66,117,708,66,602,810,1434,2
583,66,1464,1462,1368,66,66,514,66,146,2
